"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2018","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2019","11709","1"
"Åland Islands","2018","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2019","5620.5","1"
"Åland Islands","2018","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2019","6088.5","1"
"Åland Islands","2017","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2018","11621","1"
"Åland Islands","2017","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2018","5583","1"
"Åland Islands","2017","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2018","6038","1"
"Åland Islands","2016","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2017","11513","1"
"Åland Islands","2016","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2017","5538","1"
"Åland Islands","2016","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2017","5975","1"
"Åland Islands","2015","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2016","11471","1"
"Åland Islands","2015","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2016","5521","1"
"Åland Islands","2015","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2016","5950","1"
"Åland Islands","2014","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2015","11437","1"
"Åland Islands","2014","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2015","5490","1"
"Åland Islands","2014","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2015","5947","1"
"Åland Islands","2013","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2014","11370","1"
"Åland Islands","2013","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2014","5445","1"
"Åland Islands","2013","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2014","5925","1"
"Åland Islands","2012","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2013","11304.5","1"
"Åland Islands","2012","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2013","5408","1"
"Åland Islands","2012","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2013","5896.5","1"
"Åland Islands","2011","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2012","11226.5","1"
"Åland Islands","2011","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2012","5363.5","1"
"Åland Islands","2011","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2012","5863","1"
"Åland Islands","2010","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2011","11156.5","1"
"Åland Islands","2010","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2011","5327","1"
"Åland Islands","2010","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2011","5829.5","1"
"Åland Islands","2009","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2009","11064","1"
"Åland Islands","2009","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2009","5264","1"
"Åland Islands","2009","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2009","5800","1"
"Åland Islands","2008","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2009","10954","1"
"Åland Islands","2008","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2009","5189","1"
"Åland Islands","2008","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2009","5765","1"
"Åland Islands","2007","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2007","10863","1"
"Åland Islands","2007","Total","Male","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2007","5151","1"
"Åland Islands","2007","Total","Female","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2007","5712","1"
"Åland Islands","2000","Total","Both Sexes","MARIEHAMN","City proper","Census - de jure - complete tabulation","Final figure, complete","2009","10488","2"
"Åland Islands","2000","Total","Male","MARIEHAMN","City proper","Census - de jure - complete tabulation","Final figure, complete","2009","4943","2"
"Åland Islands","2000","Total","Female","MARIEHAMN","City proper","Census - de jure - complete tabulation","Final figure, complete","2009","5545","2"
"Albania","2011","Total","Both Sexes","Durrës","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","113249",""
"Albania","2011","Total","Both Sexes","TIRANA","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","418495",""
"Albania","2011","Total","Male","Durrës","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","56511",""
"Albania","2011","Total","Male","TIRANA","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","203239",""
"Albania","2011","Total","Female","Durrës","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","56738",""
"Albania","2011","Total","Female","TIRANA","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","215256",""
"Albania","2003","Total","Both Sexes","TIRANA","City proper","Estimate - de facto","Final figure, complete","2004","392863",""
"Albania","2003","Total","Male","TIRANA","City proper","Estimate - de facto","Final figure, complete","2004","194006",""
"Albania","2003","Total","Female","TIRANA","City proper","Estimate - de facto","Final figure, complete","2004","198857",""
"Algeria","2008","Total","Both Sexes","Adrar","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","200834",""
"Algeria","2008","Total","Both Sexes","Ain Defla","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","450280",""
"Algeria","2008","Total","Both Sexes","Ain Temouchent","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","299341",""
"Algeria","2008","Total","Both Sexes","Annaba","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","442230",""
"Algeria","2008","Total","Both Sexes","Batna","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","768444",""
"Algeria","2008","Total","Both Sexes","Béchar","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","236213",""
"Algeria","2008","Total","Both Sexes","Bejaïa","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","559981",""
"Algeria","2008","Total","Both Sexes","Beskra (Biskra)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","563245",""
"Algeria","2008","Total","Both Sexes","Bordj Bou Arreridj","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","422986",""
"Algeria","2008","Total","Both Sexes","Bouira","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","372196",""
"Algeria","2008","Total","Both Sexes","Boumerdes","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","459250",""
"Algeria","2008","Total","Both Sexes","Chlef","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","521070",""
"Algeria","2008","Total","Both Sexes","El Bayadh","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","192958",""
"Algeria","2008","Total","Both Sexes","El Boulaïda (Blida)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","719515",""
"Algeria","2008","Total","Both Sexes","ALGIERS (EL DJAZAIR)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","2712944",""
"Algeria","2008","Total","Both Sexes","El Djelfa","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","825411",""
"Algeria","2008","Total","Both Sexes","El Oued","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","495573",""
"Algeria","2008","Total","Both Sexes","El Tarf","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","230157",""
"Algeria","2008","Total","Both Sexes","Ghardaïa","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","355701",""
"Algeria","2008","Total","Both Sexes","Ghilizane (Relizane)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","432386",""
"Algeria","2008","Total","Both Sexes","Guelma","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","363716",""
"Algeria","2008","Total","Both Sexes","Jijel","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","391096",""
"Algeria","2008","Total","Both Sexes","Khenchela","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","288849",""
"Algeria","2008","Total","Both Sexes","Laghouat","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","371204",""
"Algeria","2008","Total","Both Sexes","Lemdiyya (Médéa)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","519383",""
"Algeria","2008","Total","Both Sexes","Mestghanem (Mostaganem)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","338143",""
"Algeria","2008","Total","Both Sexes","Mila","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","440735",""
"Algeria","2008","Total","Both Sexes","Mouaskar (Mascara)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","513432",""
"Algeria","2008","Total","Both Sexes","M'Sila","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","666848",""
"Algeria","2008","Total","Both Sexes","Naama","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","160381",""
"Algeria","2008","Total","Both Sexes","Oum El Bouaghi","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","467997",""
"Algeria","2008","Total","Both Sexes","Qacentina (Constantine)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","717646",""
"Algeria","2008","Total","Both Sexes","Saïda","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","248939",""
"Algeria","2008","Total","Both Sexes","Sidi-bel-Abbès","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","517836",""
